image,method,seed,psnr,hole_psnr,outside_mse,ssim,black_residue_pct
bricks,sd_inpaint_best_of_n,4,23.528839111328125,16.0894775390625,3.246021051950265e-08,0.9511709213256836,10.073955626624025
crayon_paint,sd_inpaint_best_of_n,7,35.8389778137207,18.11784553527832,0.0,0.9886285662651062,1.183431952662722
fingerprint256,sd_inpaint_best_of_n,2,20.48814582824707,10.088902473449707,0.0,0.8888804316520691,2.174640347942456
white_house,sd_inpaint_best_of_n,2,28.079383850097656,20.652868270874023,0.0,0.9863898158073425,0.7508647599763772
white_house,sd_inpaint_plus_line_prior,2,27.03903579711914,19.612524032592773,0.0,0.9827765822410583,0.759301442672741
